age,year,slip,pop
29,2008,2,9365
29,2009,0,9924
29,2010,7,9714
29,2011,4,10084
29,2012,2,9922
29,2013,0,10218
29,2014,2,10593
29,2015,3,10492
29,2016,7,10810
30,2001,0,8791
30,2002,0,8859
30,2003,0,9022
30,2004,0,9250
30,2005,1,9122
30,2006,0,8874
30,2007,0,8919
30,2008,0,8852
30,2009,1,9225
30,2010,6,9790
30,2011,2,9549
30,2012,1,9794
30,2013,1,9732
30,2014,2,10111
30,2015,0,10494
30,2016,2,10479
31,2001,0,7857
31,2002,0,8613
31,2003,0,8711
31,2004,1,8818
31,2005,1,9103
31,2006,1,8867
31,2007,0,8603
31,2008,3,8745
31,2009,3,8672
31,2010,5,9021
31,2011,6,9570
31,2012,3,9274
31,2013,1,9613
31,2014,2,9563
31,2015,1,9884
31,2016,4,10386
32,2001,0,7555
32,2002,0,7704
32,2003,0,8495
32,2004,0,8435
32,2005,0,8604
32,2006,2,8773
32,2007,2,8578
32,2008,0,8491
32,2009,0,8539
32,2010,6,8463
32,2011,3,8906
32,2012,1,9348
32,2013,0,9032
32,2014,3,9355
32,2015,0,9387
32,2016,4,9823
33,2001,0,7732
33,2002,0,7436
33,2003,0,7593
33,2004,3,8234
33,2005,1,8182
33,2006,0,8315
33,2007,0,8461
33,2008,2,8392
33,2009,2,8325
33,2010,12,8312
33,2011,3,8295
33,2012,0,8673
33,2013,1,9140
33,2014,1,8892
33,2015,2,9082
33,2016,6,9216
34,2001,0,7707
34,2002,0,7598
34,2003,0,7274
34,2004,0,7434
34,2005,0,7929
34,2006,1,7994
34,2007,0,8039
34,2008,0,8248
34,2009,2,8204
34,2010,8,8106
34,2011,8,8113
34,2012,3,8096
34,2013,0,8526
34,2014,1,8941
34,2015,2,8738
34,2016,6,8928
35,2001,0,7741
35,2002,0,7606
35,2003,0,7434
35,2004,4,7144
35,2005,1,7224
35,2006,0,7730
35,2007,2,7764
35,2008,0,7802
35,2009,2,8092
35,2010,10,8014
35,2011,4,7904
35,2012,2,7907
35,2013,4,7939
35,2014,4,8372
35,2015,1,8762
35,2016,4,8558
36,2001,0,7413
36,2002,0,7584
36,2003,0,7462
36,2004,5,7307
36,2005,2,6980
36,2006,0,7087
36,2007,1,7519
36,2008,0,7614
36,2009,1,7693
36,2010,6,7963
36,2011,4,7899
36,2012,5,7727
36,2013,0,7788
36,2014,1,7799
36,2015,3,8200
36,2016,3,8635
37,2001,0,7465
37,2002,0,7306
37,2003,1,7490
37,2004,2,7344
37,2005,3,7125
37,2006,0,6819
37,2007,1,6994
37,2008,2,7403
37,2009,0,7518
37,2010,3,7572
37,2011,3,7835
37,2012,2,7752
37,2013,2,7574
37,2014,1,7646
37,2015,2,7730
37,2016,4,8115
38,2001,0,6992
38,2002,0,7373
38,2003,0,7220
38,2004,0,7415
38,2005,2,7207
38,2006,1,7058
38,2007,0,6712
38,2008,0,6878
38,2009,1,7288
38,2010,5,7395
38,2011,7,7477
38,2012,2,7721
38,2013,0,7640
38,2014,4,7451
38,2015,2,7535
38,2016,3,7639
39,2001,0,6359
39,2002,0,6907
39,2003,0,7301
39,2004,0,7143
39,2005,2,7297
39,2006,2,7091
39,2007,1,6954
39,2008,0,6617
39,2009,3,6823
39,2010,7,7211
39,2011,2,7280
39,2012,3,7391
39,2013,0,7622
39,2014,1,7588
39,2015,1,7357
39,2016,4,7539
40,2001,0,6162
40,2002,0,6299
40,2003,0,6868
40,2004,2,7264
40,2005,2,7067
40,2006,0,7170
40,2007,0,7016
40,2008,0,6864
40,2009,4,6613
40,2010,7,6785
40,2011,2,7130
40,2012,3,7183
40,2013,2,7351
40,2014,1,7598
40,2015,0,7491
40,2016,4,7271
41,2001,0,6094
41,2002,0,6168
41,2003,0,6236
41,2004,2,6770
41,2005,2,7169
41,2006,1,7006
41,2007,1,7079
41,2008,0,6977
41,2009,2,6861
41,2010,10,6544
41,2011,3,6736
41,2012,2,7047
41,2013,3,7162
41,2014,0,7274
41,2015,0,7581
